,symbol,date,stop,targets,trades
394,PARA,2023-05-26,14.66,"[15.120000000000001, 15.350000000000001]","[(1685108040000, 14.89, 1), (1685108100000, 14.66, -1)]"
395,PARA,2023-05-31,15.39,"[15.55, 15.63]","[(1685540100000, 15.47, 1), (1685540220000, 15.55, -0.5), (1685540280000, 15.575, -0.5)]"
396,GTLB,2023-06-06,42.89,"[44.989999999999995, 46.03999999999999]","[(1686058380000, 43.94, 1), (1686059760000, 42.89, -1)]"
397,TOST,2023-02-02,23.8677,"[24.1323, 24.2646]","[(1675348620000, 24, 1), (1675349100000, 24.1323, -0.5), (1675349460000, 24.06, -0.5)]"
398,TOST,2023-02-13,23.4,"[23.560000000000002, 23.640000000000004]","[(1676299080000, 23.48, 1), (1676299140000, 23.560000000000002, -0.5), (1676299200000, 23.58, -0.5)]"
399,TOST,2023-03-14,17.6,"[17.699999999999996, 17.749999999999993]","[(1678801020000, 17.65, 1), (1678801080000, 17.699999999999996, -0.5), (1678801440000, 17.745, -0.5)]"
400,TOST,2023-05-10,19.71,"[20.22, 20.474999999999998]","[(1683725640000, 19.965, 1), (1683725700000, 20.22, -0.5), (1683725760000, 20.17, -0.5)]"
401,MTCH,2023-05-03,34.89,"[36.75, 37.68]","[(1683120900000, 35.82, 1), (1683122280000, 36.75, -0.5), (1683122640000, 36.57, -0.5)]"
402,MTCH,2023-06-09,39.625,"[39.875, 40.0]","[(1686317580000, 39.75, 1), (1686317640000, 39.875, -0.5), (1686317880000, 39.76, -0.5)]"
403,MTCH,2023-06-13,42.39,"[42.97, 43.26]","[(1686663180000, 42.68, 1), (1686663240000, 42.39, -1)]"
404,JNPR,2023-06-30,31.29,"[31.450000000000003, 31.530000000000005]","[(1688132220000, 31.37, 1), (1688132700000, 31.450000000000003, -0.5), (1688133660000, 31.5406, -0.5)]"
405,AAL,2023-05-31,14.7884,"[14.9116, 14.9732]","[(1685539980000, 14.85, 1), (1685540040000, 14.9116, -0.5), (1685540220000, 14.9732, -0.5)]"
406,SOFI,2023-02-02,7.635,"[7.765000000000001, 7.830000000000001]","[(1675348320000, 7.7, 1), (1675348380000, 7.765000000000001, -0.5), (1675349460000, 7.94, -0.5)]"
407,SOFI,2023-03-22,5.71,"[5.8488, 5.9182]","[(1679492160000, 5.7794, 1), (1679492220000, 5.8488, -0.5), (1679492340000, 5.81, -0.5)]"
408,SOFI,2023-04-14,5.91,"[5.969799999999999, 5.999699999999999]","[(1681479180000, 5.9399, 1), (1681479240000, 5.91, -1)]"
409,SOFI,2023-05-01,5.96,"[6.1000000000000005, 6.170000000000001]","[(1682948100000, 6.03, 1), (1682948160000, 5.96, -1)]"
410,SOFI,2023-05-05,4.9907,"[5.049299999999999, 5.078599999999998]","[(1683293520000, 5.02, 1), (1683293700000, 5.049299999999999, -0.5), (1683293820000, 5.02, -0.5)]"
411,SOFI,2023-05-10,5.49,"[5.529999999999999, 5.549999999999999]","[(1683725760000, 5.51, 1), (1683725820000, 5.529999999999999, -0.5), (1683725880000, 5.49, -0.5)]"
412,SOFI,2023-06-07,7.75,"[7.93, 8.02]","[(1686144720000, 7.84, 1), (1686144960000, 7.75, -1)]"
413,SOFI,2023-06-13,9.24,"[9.42, 9.51]","[(1686663300000, 9.33, 1), (1686663360000, 9.24, -1)]"
414,NCLH,2023-02-02,16.37,"[16.49, 16.549999999999997]","[(1675348380000, 16.43, 1), (1675348500000, 16.37, -1)]"
415,NCLH,2023-02-07,16.91,"[17.029799999999998, 17.089699999999997]","[(1675780560000, 16.9699, 1), (1675780680000, 17.029799999999998, -0.5), (1675781580000, 17.38, -0.5)]"
416,NCLH,2023-03-29,12.71,"[12.829999999999998, 12.889999999999997]","[(1680096780000, 12.77, 1), (1680096840000, 12.71, -1)]"
417,NCLH,2023-05-04,14.615,"[14.845, 14.96]","[(1683207120000, 14.73, 1), (1683207180000, 14.615, -1)]"
418,ONON,2023-06-02,27.92,"[28.339999999999996, 28.549999999999994]","[(1685712840000, 28.13, 1), (1685714040000, 28.339999999999996, -0.5), (1685714280000, 28.15, -0.5)]"
419,SRPT,2023-05-10,131.49,"[134.48000000000002, 135.97500000000002]","[(1683725640000, 132.985, 1), (1683725760000, 134.48000000000002, -0.5), (1683725880000, 132.5, -0.5)]"
420,SRPT,2023-05-15,149.22,"[151.11999999999998, 152.06999999999996]","[(1684157580000, 150.17, 1), (1684157880000, 149.22, -1)]"
421,S,2023-05-25,20.11,"[20.29, 20.38]","[(1685021700000, 20.2, 1), (1685021760000, 20.11, -1)]"
422,S,2023-05-30,21.44,"[21.969999999999995, 22.234999999999992]","[(1685453640000, 21.705, 1), (1685454180000, 21.44, -1)]"
423,S,2023-06-12,15.51,"[15.81, 15.96]","[(1686576780000, 15.66, 1), (1686576900000, 15.51, -1)]"
424,S,2023-06-16,17.03,"[17.17, 17.240000000000002]","[(1686922380000, 17.1, 1), (1686922440000, 17.17, -0.5), (1686922740000, 17.03, -0.5)]"
425,CTLT,2023-02-06,68.51,"[69.77, 70.39999999999999]","[(1675694040000, 69.14, 1), (1675694100000, 68.51, -1)]"
426,CTLT,2023-05-19,34.33,"[35.81, 36.550000000000004]","[(1684503240000, 35.07, 1), (1684503300000, 34.33, -1)]"
427,W,2023-02-02,68.41,"[70.58000000000001, 71.66500000000002]","[(1675348380000, 69.495, 1), (1675348440000, 70.58000000000001, -0.5), (1675348680000, 69.75, -0.5)]"
428,W,2023-05-04,34.85,"[37.7498, 39.1997]","[(1683207240000, 36.2999, 1), (1683207960000, 37.7498, -0.5), (1683208080000, 36.66, -0.5)]"
429,W,2023-06-02,43.99,"[45.01, 45.519999999999996]","[(1685712840000, 44.5, 1), (1685712900000, 43.99, -1)]"
430,W,2023-06-07,50.69,"[53.230000000000004, 54.50000000000001]","[(1686144780000, 51.96, 1), (1686146640000, 50.69, -1)]"
431,GNRC,2023-05-03,108.4801,"[111.3597, 112.79950000000001]","[(1683120840000, 109.9199, 1), (1683120900000, 111.3597, -0.5), (1683121320000, 110.99, -0.5)]"
432,GPS,2023-03-30,9.48,"[9.57, 9.615]","[(1680183360000, 9.525, 1), (1680183660000, 9.57, -0.5), (1680184080000, 9.55, -0.5)]"
433,FHN,2023-03-20,15.25,"[15.469999999999999, 15.579999999999998]","[(1679319300000, 15.36, 1), (1679319360000, 15.25, -1)]"
434,FHN,2023-05-05,10.28,"[10.62, 10.79]","[(1683293640000, 10.45, 1), (1683293700000, 10.62, -0.5), (1683293760000, 10.58, -0.5)]"
435,FHN,2023-06-05,11.04,"[11.130000000000003, 11.175000000000004]","[(1685972340000, 11.085, 1), (1685972400000, 11.04, -1)]"
436,X,2023-03-01,31.11,"[31.468000000000004, 31.647000000000006]","[(1677681180000, 31.289, 1), (1677681240000, 31.11, -1)]"
437,X,2023-03-14,27.5501,"[27.749899999999997, 27.849799999999995]","[(1678800960000, 27.65, 1), (1678801080000, 27.749899999999997, -0.5), (1678801140000, 27.59, -0.5)]"
438,X,2023-03-17,24.8501,"[25.2499, 25.4498]","[(1679059920000, 25.05, 1), (1679060160000, 25.2499, -0.5), (1679060340000, 24.98, -0.5)]"
439,X,2023-03-21,25.42,"[25.6, 25.69]","[(1679405700000, 25.51, 1), (1679405760000, 25.6, -0.5), (1679406480000, 25.72, -0.5)]"
440,X,2023-03-27,25.35,"[25.53, 25.62]","[(1679924100000, 25.44, 1), (1679924160000, 25.35, -1)]"
441,X,2023-04-11,25.73,"[25.929999999999996, 26.029999999999994]","[(1681220100000, 25.83, 1), (1681220340000, 25.929999999999996, -0.5), (1681220520000, 25.85, -0.5)]"
442,X,2023-05-08,22.0349,"[22.3251, 22.4702]","[(1683552900000, 22.18, 1), (1683553020000, 22.0349, -1)]"
443,X,2023-06-02,21.57,"[21.75, 21.84]","[(1685712840000, 21.66, 1), (1685712900000, 21.57, -1)]"
444,RMBS,2023-05-30,67.323,"[68.07700000000001, 68.45400000000002]","[(1685453580000, 67.7, 1), (1685454000000, 68.07700000000001, -0.5), (1685454120000, 67.6, -0.5)]"
